hour,plug,value
236,5,240882.66600000134
236,6,186690.56900000008
236,7,34374.67500000002
236,8,35982.576
236,9,1705.044999999994
236,11,31416.939000000104
237,0,11562.647999999986
237,2,68736.5409999998
237,3,0.616
237,4,58399.20100000013
237,5,234325.14300000062
237,6,182359.75900000127
237,7,34101.790000000095
237,8,45569.51999999996
237,9,1714.0440000000003
237,11,31262.944000000043
238,0,8966.078000000009
238,2,58392.08699999992
238,3,2.473
238,4,54927.21000000018
238,5,186965.85400000072
238,6,144904.98600000076
238,7,33725.16999999994
238,8,35503.49099999999
238,9,1736.4629999999963
238,11,30861.28099999999
239,2,17521.276999999875
239,3,2.481
239,5,6656.965000000009
239,6,5180.0280000000075
239,7,34333.182000000044
239,9,1734.2119999999957
239,11,31463.61500000001
240,2,17652.94399999985
240,3,2.9989999999999997
240,5,6801.946000000019
240,6,5305.741000000016
240,7,34941.84500000009
240,9,1715.9559999999985
240,11,32077.064000000075
241,2,17727.929999999822
241,3,6.081
241,5,6877.37300000001
241,6,5330.871999999991
241,7,36190.06700000008
241,9,1745.7969999999973
241,11,33167.97500000015
242,2,17719.57299999984
242,3,6.224999999999999
242,5,4772.381999999958
242,6,3724.4599999999996
242,7,36043.065000000126
242,9,1726.6699999999976
242,11,32953.29600000005
243,2,17908.60799999985
243,3,7.982
243,5,4786.452999999946
243,6,3716.7770000000014
243,7,35106.58000000003
243,9,1796.233999999998
243,11,32124.721000000096
244,2,17714.832999999795
244,3,5.68
244,5,4751.937999999955
244,6,3686.123999999999
244,7,34496.80100000011
244,9,1743.9349999999968
244,11,31763.266000000098
245,2,17643.790999999812
245,3,5.655
245,5,4803.463999999965
245,6,3730.8729999999987
245,7,35466.79200000009
245,9,1816.360999999999
245,11,32508.043000000085
246,2,18193.257999999834
246,3,3.669
246,5,4838.461999999961
246,6,3763.354000000001
246,7,35402.72200000012
246,9,1743.6359999999956
246,11,32419.282000000047
247,2,18214.34099999987
247,3,1.7850000000000001
247,5,4838.1649999999545
247,6,3770.1800000000057
247,7,35233.20200000005
247,9,1740.726999999997
247,11,32362.10100000007
248,2,59351.360999999975
248,3,3.6590000000000003
248,5,128031.53599999986
248,6,99618.313
248,7,35131.282000000036
248,9,1766.9799999999982
248,11,32194.760000000024
249,2,71665.83899999979
249,3,0.701
249,5,239758.3080000002
249,6,185702.5039999998
249,7,33766.89200000005
249,9,1698.5899999999983
249,11,30837.53400000002
250,2,63098.73800000015
250,3,1.379
250,5,237370.69200000184
250,6,185206.704999999
250,7,34715.15600000001
250,9,1799.9009999999973
250,11,31747.551000000014
251,2,72555.42299999986
251,3,1.308
251,5,230749.17400000064
251,6,180682.114
251,7,34952.391000000025
251,9,1693.1259999999982
251,11,32038.60200000006
252,2,23044.118999999737
252,3,1.798
252,5,239168.00400000127
252,6,186381.14800000138
252,7,34598.424000000065
252,9,1673.3509999999985
252,11,31729.65899999998
253,2,18358.019999999848
253,3,2.404
253,5,234517.51600000134
253,6,181993.28799999924
253,7,34779.35199999999
253,9,1702.4819999999988
253,11,31900.083000000013
254,2,18270.67899999987
254,5,154677.46500000058
254,6,119902.54900000073
254,7,34797.676
254,9,1674.5689999999977
254,11,31905.831000000046
255,2,18501.370999999875
255,3,3.8320000000000003
255,5,6949.888000000011
255,6,5398.007000000001
255,7,34770.35100000006
255,9,1669.4729999999988
255,11,31995.315000000053
256,2,18173.97699999983
256,3,3.015
256,5,7034.602000000014
256,6,5459.210000000002
256,7,35045.16400000004
256,9,1771.3149999999987
256,11,32045.537000000073
257,2,17823.486999999866
257,3,5.16
257,5,6920.177000000012
257,6,5374.820000000001
257,7,35313.044
257,9,1803.431999999999
257,11,32328.700000000084
258,2,17717.437999999842
258,3,2.489
258,5,6884.639000000008
258,6,5361.005000000002
258,7,33655.75
258,9,1661.2899999999986
258,11,31015.720000000016
259,0,11538.434000000007
259,2,33333.064999999995
259,3,2690.9649999999992
259,4,8146.568999999998
259,5,212582.6359999999
259,6,165200.30800000005
259,7,33851.35400000008
259,8,45448.760999999984
259,9,1666.410999999999
259,11,31124.962000000025
260,0,22848.72100000003
260,2,70760.26499999984
260,3,16271.652000000002
260,4,59636.660000000134
260,5,236961.18699999992
260,6,184805.0089999999
260,7,34370.86200000001
260,8,89884.02399999999
260,9,1715.9119999999982
260,11,31468.376999999997
261,0,3423.608000000001
261,2,68206.63199999988
261,4,44974.559000000045
261,5,249151.6889999995
261,6,194669.428
261,7,33250.401999999995
261,8,13550.403000000015
261,9,1758.5439999999992
261,11,30567.387000000024
262,2,67895.43599999975
262,5,224522.02500000043
262,6,174035.81700000004
262,7,34668.81100000006
262,9,1714.8309999999985
262,11,31771.616000000064
263,2,65599.3629999998
263,5,226660.98300000132
263,6,175908.9259999997
263,7,35410.757000000085
263,9,1735.1909999999966
263,11,32387.67200000006
264,2,70776.58599999982
264,5,235098.10200000147
264,6,182558.23800000013
264,7,34495.10000000007
264,9,1789.6899999999962
264,11,31658.773000000045
265,2,44914.420000000566
265,5,117139.73400000029
265,6,91057.31400000093
265,7,34947.915000000015
265,9,1807.8059999999998
265,11,31956.026000000093
266,2,17958.71299999983
266,5,4735.702999999966
266,6,3686.844000000004
266,7,35410.68300000002
266,9,1839.5999999999974
266,11,32430.908000000032
267,2,17868.244999999857
267,5,4727.814999999964
267,6,3680.89
267,7,34137.71800000003
267,9,1706.5939999999975
267,11,31299.91000000006
268,2,18180.702999999852
268,5,4791.606999999958
