min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
5675,10936.995000000003,1,1,1,1,1,1,1,1,1,1,1
5676,10372.097,1,1,1,1,1,1,1,1,1,1,1
5677,10425.654999999999,1,1,1,1,1,1,1,1,1,1,1
5678,10166.5,1,1,1,1,1,1,1,1,1,1,1
5679,10907.752000000002,1,1,1,1,1,1,1,1,1,1,1
5680,10958.858,1,1,1,1,1,1,1,1,1,1,1
5681,10542.074000000002,1,1,1,1,1,1,1,1,1,1,1
5682,11175.992,1,1,1,1,1,1,1,1,1,1,1
5683,10992.576000000003,1,1,1,1,1,1,1,1,1,1,1
5684,10619.151,1,1,1,1,1,1,1,1,1,1,1
5685,11101.347999999996,1,1,1,1,1,1,1,1,1,1,1
5686,9794.867999999999,1,1,1,1,1,1,1,1,1,1,1
5687,10943.434999999998,1,1,1,1,1,1,1,1,1,1,1
5688,10980.111,1,1,1,1,1,1,1,1,1,1,1
5689,9853.071000000002,1,1,1,1,1,1,1,1,1,1,1
5690,10409.089000000002,1,1,1,1,1,1,1,1,1,1,1
5691,11789.856,1,1,1,1,1,1,1,1,1,1,1
5692,10167.769999999997,1,1,1,1,1,1,1,1,1,1,1
5693,10104.107999999998,1,1,1,1,1,1,1,1,1,1,1
5694,10894.034,1,1,1,1,1,1,1,1,1,1,1
5695,11010.831999999999,1,1,1,1,1,1,1,1,1,1,1
5696,10476.761000000004,1,1,1,1,1,1,1,1,1,1,1
5697,10496.963999999998,1,1,1,1,1,1,1,1,1,1,1
5698,10330.856,1,1,1,1,1,1,1,1,1,1,1
5699,10547.739999999998,1,1,1,1,1,1,1,1,1,1,1
5700,11274.716,1,1,1,1,1,1,1,1,1,1,1
5701,10504.685,1,1,1,1,1,1,1,1,1,1,1
5702,11135.305000000002,1,1,1,1,1,1,1,1,1,1,1
5703,10439.700000000003,1,1,1,1,1,1,1,1,1,1,1
5704,10913.853000000001,1,1,1,1,1,1,1,1,1,1,1
5705,10483.418999999996,1,1,1,1,1,1,1,1,1,1,1
5706,10467.784,1,1,1,1,1,1,1,1,1,1,1
5707,10809.908000000001,1,1,1,1,1,1,1,1,1,1,1
5708,10235.980000000001,1,1,1,1,1,1,1,1,1,1,1
5709,10558.999,1,1,1,1,1,1,1,1,1,1,1
5710,10667.148,1,1,1,1,1,1,1,1,1,1,1
5711,10965.450000000003,1,1,1,1,1,1,1,1,1,1,1
5712,11656.252999999997,1,1,1,1,1,1,1,1,1,1,1
5713,10673.238000000001,1,1,1,1,1,1,1,1,1,1,1
5714,11236.796000000002,1,1,1,1,1,1,1,1,1,1,1
5715,10823.394999999997,1,1,1,1,1,1,1,1,1,1,1
5716,11005.555999999997,1,1,1,1,1,1,1,1,1,1,1
5717,10734.431999999997,1,1,1,1,1,1,1,1,1,1,1
5718,11680.501999999997,1,1,1,1,1,1,1,1,1,1,1
5719,10841.687000000005,1,1,1,1,1,1,1,1,1,1,1
5720,10624.033,1,1,1,1,1,1,1,1,1,1,1
5721,10809.446000000002,1,1,1,1,1,1,1,1,1,1,1
5722,11871.408999999998,1,1,1,1,1,1,1,1,1,1,1
5723,10092.010999999999,1,1,1,1,1,1,1,1,1,1,1
5724,10178.253,1,1,1,1,1,1,1,1,1,1,1
5725,10538.339,1,1,1,1,1,1,1,1,1,1,1
5726,10532.422999999997,1,1,1,1,1,1,1,1,1,1,1
5727,11128.394,1,1,1,1,1,1,1,1,1,1,1
5728,10963.585000000003,1,1,1,1,1,1,1,1,1,1,1
5729,11473.107000000004,1,1,1,1,1,1,1,1,1,1,1
5730,11660.423000000004,1,1,1,1,1,1,1,1,1,1,1
5731,11545.753000000002,1,1,1,1,1,1,1,1,1,1,1
5732,11576.728,1,1,1,1,1,1,1,1,1,1,1
5733,12011.919999999996,1,1,1,1,1,1,1,1,1,1,1
5734,10980.476999999997,1,1,1,1,1,1,1,1,1,1,1
5735,10631.190999999995,1,1,1,1,1,1,1,1,1,1,1
5736,10412.0,1,1,1,1,1,1,1,1,1,1,1
5737,10276.179999999997,1,1,1,1,1,1,1,1,1,1,1
5738,10455.371,1,1,1,1,1,1,1,1,1,1,1
5739,11702.828000000001,1,1,1,1,1,1,1,1,1,1,1
5740,10890.871999999998,1,1,1,1,1,1,1,1,1,1,1
5741,11194.603,1,1,1,1,1,1,1,1,1,1,1
5742,10575.002999999999,1,1,1,1,1,1,1,1,1,1,1
5743,11351.501999999997,1,1,1,1,1,1,1,1,1,1,1
5744,10425.517999999998,1,1,1,1,1,1,1,1,1,1,1
