HH,hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13
11,6,34145.889000000134,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,6,108247.528,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,395232.8170000008,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,7,594084.6300000014,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,7,1564550.2359999954,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,7,453425.73000000085,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,7,196325.19500000036,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,812348.3870000009,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,7,281170.8470000002,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,7,706284.0719999975,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,782153.8800000006,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,7,750951.851000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,7,33876.94100000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,592027.8720000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7,688227.8209999999,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,8,549682.0409999989,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,8,1445806.4009999954,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,8,410962.1269999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,198839.72800000064,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,784220.8540000002,0,0,1,0,0,1,0,0,0,0,0,1,0,0
7,8,283247.1510000008,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,8,649654.3999999992,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,711193.6669999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,679136.9289999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,8,34628.938000000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,532851.4770000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,655019.3730000008,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,9,623752.7909999972,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,9,1823737.7549999964,1,0,0,1,1,1,0,0,0,0,0,0,0,0
2,9,827270.217999999,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,9,537158.673,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9,1340358.4410000034,1,0,1,0,0,1,0,0,0,0,1,1,0,0
7,9,828397.7250000015,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,9,732026.2219999962,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,9,1573059.2430000056,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,9,1174894.7300000018,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,9,55705.21299999948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9,569667.551,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,1776937.6930000011,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,10,596578.5369999984,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,10,2005941.3030000012,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,10,894672.2069999966,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,10,494251.7609999987,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,10,323600.8179999997,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,10,42901.46300000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,1299592.8270000003,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7,10,803619.6999999982,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,10,749291.597000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,1749222.2019999966,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,10,1270931.6260000032,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,10,129782.80699999943,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,10,749137.9839999968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,1845792.519000002,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,11,548885.7370000004,0,0,1,0,0,0,0,1,0,1,0,1,0,0
1,11,1727502.8079999958,1,0,1,0,1,0,0,0,0,0,1,0,1,0
2,11,802501.0319999986,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,11,378930.9419999993,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,11,246249.91799999966,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,11,34137.60300000009,1,1,1,0,0,0,0,0,0,0,0,0,0,0
6,11,1006605.219000001,0,0,1,0,1,1,0,0,0,1,0,1,0,0
